32
1985	2028	1184	1918	1977	1328	1121	1347	1670	1897	1613	1278	1807	0	1978	1541	1282	1030	1388	1210	1249	1464	1224	1590	1208	1045	1057	1589	1754	1880	1235	1177	
1096	1817	1343	2000	1386	1806	1301	1037	1285	1254	1212	1785	1180	1978	0	1166	1772	1439	1964	1331	1611	1976	1563	1556	1665	1060	1088	1966	1711	1571	1617	1898	
1912	1535	1558	1958	1422	1244	1100	1077	1786	1042	1560	1038	1103	1541	1166	0	1713	1668	1277	1351	1211	1389	1887	1314	1258	1203	1165	2007	1921	1232	1819	1431	
1409	1702	1460	1740	1947	1868	1818	1486	1336	1650	1032	2044	1162	1282	1772	1713	0	1725	1820	1694	1757	1885	1677	1265	1878	1874	1107	1425	1997	1843	1369	1281	
1721	1276	1142	1424	1736	1686	1500	1511	1925	1661	1745	1510	2024	1030	1439	1668	1725	0	2022	1524	1085	1327	1248	1752	1528	2036	1714	1241	1604	1156	1345	1764	
1974	1620	2004	1353	1366	2039	1048	1053	1621	1046	1448	1406	1201	1388	1964	1277	1820	2022	0	1778	1449	1662	1357	1852	1532	1280	1676	1559	1660	1272	1724	1531	
1273	1434	1313	1731	1957	1570	1774	1101	1228	1330	1733	1329	1164	1210	1331	1351	1694	1524	1778	0	1685	1365	1652	1598	1377	1302	1616	2042	1266	1378	1306	1494	
1688	1923	1073	1628	1794	1405	1610	1104	1993	1223	1029	1777	1443	1249	1611	1211	1757	1085	1449	1685	0	1063	1485	1069	1321	1632	1481	1623	1171	1283	1863	1392	
1047	1700	1050	1070	1696	1195	1307	2032	1456	1526	2010	1236	1381	1464	1976	1389	1885	1327	1662	1365	1063	0	1802	1543	1572	1557	1421	1717	1159	1326	1996	1858	
1656	1910	1356	2033	1776	1533	1680	1519	1310	1586	1154	1679	1606	1224	1563	1887	1677	1248	1357	1652	1485	1802	0	1587	1437	1956	1954	1844	1726	1719	1131	1698	
1916	1753	1344	1901	1482	1452	2047	1216	1446	1049	1751	1033	1875	1590	1556	1314	1265	1752	1852	1598	1069	1543	1587	0	1466	1469	1337	1081	1080	1182	1397	1913	
1335	1537	1866	1062	1915	1086	1495	1472	1117	1316	1627	1160	1841	1208	1665	1258	1878	1528	1532	1377	1321	1572	1437	1466	0	2014	1607	1118	1622	1522	1811	1644	
1582	1730	1975	1116	1198	1666	1158	1338	1684	1257	1231	1624	1040	1045	1060	1203	1874	2036	1280	1302	1632	1557	1956	1469	2014	0	1849	1200	1638	1865	1889	1931	
2043	1834	1722	1372	1432	1619	1960	1505	1294	1078	1099	1072	1602	1057	1088	1165	1107	1714	1676	1616	1481	1421	1954	1337	1607	1849	0	1706	1324	1846	2017	1743	
1490	2026	1163	1137	1492	1545	1853	1895	1789	1796	1765	1076	1798	1589	1966	2007	1425	1241	1559	2042	1623	1717	1844	1081	1118	1200	1706	0	1233	1396	1153	1094	
1189	1973	1708	1465	1509	1935	1635	1861	1800	1920	1290	1174	1894	1754	1711	1921	1997	1604	1660	1266	1171	1159	1726	1080	1622	1638	1324	1233	0	1295	1512	1588	
1830	1480	2008	2020	1720	1517	1682	1429	1308	1629	1051	1036	1961	1880	1571	1232	1843	1156	1272	1378	1283	1326	1719	1182	1522	1865	1846	1396	1295	0	1506	1649	
1568	1651	1860	1687	1240	2021	1408	1592	1695	1636	1801	1090	1286	1235	1617	1819	1369	1345	1724	1306	1863	1996	1131	1397	1811	1889	2017	1153	1512	1506	0	1554	
1055	1609	1167	1214	1041	1028	1066	1793	1359	1420	1064	1375	1471	1177	1898	1431	1281	1764	1531	1494	1392	1858	1698	1913	1644	1931	1743	1094	1588	1649	1554	0	
